PRL
RJ
S5Ac
S5Bc
SHP2
PPX
PPN
PRLRJ
PRLRJ2
PRLRJ2a
PRLRJ2aS5Ac
PRLRJ2aS5Bc
pS5Ac
pS5Bc
pS5AcpS5Ac
pS5AcpS5Bc
pS5BcpS5Bc
PRLRJ2aSHP2
PPXpS5Ac
PPXpS5Bc
PPXpS5AcpS5Ac
PPXpS5BcpS5Bc
PPXpS5AcpS5Bc
pS5AcS5Ac
pS5BcS5Bc
S5AcpS5Bc
pS5AcS5Bc
pS5AnpS5An
pS5AnpS5Bn
pS5BnpS5Bn
pS5An
pS5Bn
PPNpS5An
PPNpS5Bn
S5An
S5Bn
PPNpS5AnpS5An
PPNpS5AnpS5Bn
PPNpS5BnpS5Bn
pS5AnS5An
pS5BnS5Bn
S5AnpS5Bn
pS5AnS5Bn
mRNAn
mRNAc
SOCS1
SOCS1PRLRJ2a
PRLRJ2aS5AcSHP2
PRLRJ2aS5BcSHP2
SOCS1PRLRJ2aSHP2
mRn
mRc
Rc
mBCLn
mBCLc
BCL
totalpStatA
totalpStatB
fractionTranslocA
fractionTranslocB
recInternalized
