Structure,k2,k_2,k3,k_3,k4,k5,k_5,k6,deg_ratio,k7,k_7,k8,k_8,k9,k_9,k10,k11,k_11,k12,k13,k_13,k14,k15,k_15,k16,k17b,k18a,k18b,k19,k20,k21,k_21,k22,k23,k24,k25a,k25b,k26,k27,k28,k29,totalSTAT,RJ,SHP2,PPX,PPN
7,0.001244078,0.006353059,0.006384516,0.0224983,0.045260003,0.395208574,0.015511954,0.638360904,2.785921876,0.245424669,0.66680322,0.001692436,0.001976795,1.83E-05,0.022539668,4.08E-04,0.00105563,1.465693122,0.016221817,3.24E-09,0.29142553,0.00124457,2.12E-05,1.105805473,0.280079016,0.002989161,0,26.40673163,2.24E-05,0.003098499,0.000205815,9.201564438,0.000707348,0.000281919,4.01E-02,0.003736819,38.36802504,2.79E-05,0.003035804,0.055808148,0.00078502,68113.85005,18.41308058,52.57691353,516.5021757,1084.69337
7,0.000161313,5.10E-03,2.419243026,0.86261477,0.000119314,0.029329344,5.720410411,0.965169927,6.036112063,0.001360731,0.035872191,0.00162417,0.001865236,2.41E-03,0.453873897,0.004556791,1.89E-03,0.518944121,0.18933641,2.35E-06,0.216816793,0.000516485,1.60E-05,0.264110073,0.008007022,4.63394769,0,91.17659194,0.001560517,0.03005839,0.188628841,3.761755434,0.000296448,8.46E-05,0.005698195,0.025617811,17.57238006,0.023025282,5.32E-06,0.004417096,0.006835368,10101.42622,121.5183793,1.058524873,136.3662451,5244.616875
7,9.34E-05,0.035774021,0.286569175,0.017342474,0.094185658,0.0005031,1.505334454,27.08305493,3.194490759,0.011967508,0.006408364,0.015724229,0.147797731,0.000201547,0.003324901,0.00086256,3.71E-04,0.927418084,0.009848117,8.11E-07,9.214158424,0.04019487,0.008195399,0.002843663,0.129569506,0.004966133,0,8.357442332,0.000494793,0.0202278,0.339536206,5.154423566,5.26E-06,0.000748837,0.000986625,0.039850972,446.4347026,0.000227898,3.36E-05,0.208843542,0.000330345,3521.113977,76.18375378,300.4969316,1779.952423,83.87546692
7,0.000422847,0.000236688,0.001601993,0.003538382,0.332360816,0.017454456,33.02301132,0.074895412,38.41932905,2.38E-01,0.502231289,0.009911975,1.045513569,0.03500557,8.311612034,0.20184333,1.51E-02,0.018118695,7.28E-05,1.91E-08,0.096345238,0.089953274,1.21E-05,0.052516211,0.037536302,0.009146715,0,4066.259196,0.00597086,0.005270434,0.000260613,0.001409578,0.025870739,0.000143067,0.009870084,0.135002634,194.1232646,0.017700137,1.89E-05,0.036110674,0.000125056,385.7215999,229.9985177,223.0917701,11.94233304,313.830391
7,0.001203506,7.44E-05,0.081557236,0.228238898,0.147088801,0.028222748,5.390660969,0.273228372,7.417892149,0.000636991,0.062558943,0.004452791,0.308925624,1.62E-02,0.328519369,0.000128026,0.063202169,0.034324655,0.002004558,2.48E-08,0.062428649,0.445051422,0.001967358,0.891260029,0.000331399,0.036120319,0,291.2676661,0.000800234,0.00295735,0.023635509,0.602768536,0.000106192,6.38E-06,8.96E-05,0.213415724,4.44818486,0.032042165,9.93E-06,0.751169265,0.001557226,15.91889872,174.3192524,299.9057256,61.57377636,0.613647069
7,8.87E-05,0.00053039,0.003194058,6.296518813,0.146203726,0.314591212,0.143028371,3.820433372,62.00060831,0.220220556,4.321636968,0.003937708,0.071600152,9.20E-05,3.872077842,0.000309436,4.24E-03,0.04655245,0.133633814,7.61E-08,0.005058826,0.100368568,0.00863273,3.757171211,0.000570549,0.012453496,0,11092.77162,2.09E-04,0.013499143,0.007878836,0.010738784,0.009259389,1.45E-03,0.000113913,0.216711615,289.5438562,0.00045998,2.33E-03,0.061014851,0.001393687,392.4780065,40.5010618,3002.378222,37.47435373,2825.666286
7,0.005333612,0.000106478,0.122275816,0.045212697,0.008668583,0.039995578,0.048871164,0.023640055,22.95179785,0.001539144,16.10502888,0.017631808,0.013574147,0.060548904,0.015154425,0.001937338,2.37E-05,6.262682185,0.013302155,1.01E-08,0.118892295,0.000426717,0.003142128,0.806272497,0.006774867,0.020610859,0,1914.964832,0.086412038,0.027863899,0.002957324,0.007936041,0.044533033,0.007260689,0.000384553,0.934965252,21.88342554,1.61E-05,0.040072413,0.230900892,0.035115468,42952.24612,418.1170451,1.468767007,4279.528107,1126.860481
7,0.000263685,0.000337605,0.001702188,0.016221303,0.000629308,0.004047888,4.07221562,11.36535968,3.672395448,4.54E-04,9.393679331,0.000559253,0.110633322,1.44E-05,0.008880092,0.001755413,1.32E-04,0.004509101,8.36E-02,1.42E-07,3.656856304,0.033858891,1.21E-03,0.47057751,0.030352931,0.002910269,0,905.2876244,3.12E-04,0.341783858,0.17711292,0.024962981,1.46E-05,0.007990065,0.049449325,0.275870708,39.18328479,0.0059878,9.91E-05,0.002251635,0.000140229,405.6355266,118.5711039,7253.327418,5.313628434,410.0731478
7,0.00389953,0.03597117,0.014701783,0.675704936,0.033343884,0.000191763,0.037190852,0.093791879,10.67361726,0.001072942,0.056326105,0.031137595,0.01470382,4.10E-04,3.735690239,5.60E-05,6.76E-05,9.212339323,0.006953561,8.14E-07,0.998706848,0.007786409,0.031171369,11.76731,0.025055613,0.120653657,0,2906.017363,0.001779966,0.053060567,0.00579686,0.09076624,0.002464387,0.000497306,0.000186629,0.000120596,39.09362514,0.0001149,1.27E-05,0.05951983,0.100735466,11723.00791,349.9598155,6.183827266,559.6794969,108.0371133
7,0.000930791,0.015141775,1.220568989,0.017509346,0.001733537,0.008253457,6.828779041,0.028038653,5.618607908,0.005209233,0.135858777,1.729171906,0.001037189,0.067963272,0.704528786,0.091561741,0.001046778,0.052891332,0.019791079,2.25E-07,0.393131996,0.027988343,0.051503155,0.476757984,0.002140827,0.088310344,0,13011.84906,7.46E-05,0.081416904,0.312668776,5.307554366,7.37E-03,2.45E-05,0.01805253,0.007079916,13.65356905,0.000336016,3.06E-05,0.342623975,0.007147193,1019.455129,31.35135053,4.509370783,0.554612654,607.0951389
7,9.07E-05,0.000265265,0.902866332,0.231555696,0.000100967,0.061170083,0.03574492,1.013344235,11.51432588,0.00080596,0.196274014,0.04923398,0.001245481,0.000293888,0.011123829,0.051959241,2.68E-04,0.90580324,0.000275215,2.19E-07,15.03192264,0.001819278,0.060413309,15.24840588,0.215655631,0.12034393,0,96.06813566,0.009729132,0.703874312,0.02908341,0.373980383,5.18E-05,0.001786949,0.001435104,0.10816892,1029.491613,0.000424237,7.85E-05,0.035160761,0.004560141,69184.13298,659.2585599,19.72965145,3957.792652,38.65692845
7,0.000127501,0.001701077,0.000418371,0.004594569,0.021083468,0.280227487,0.321234431,3.59024999,10.73860962,0.006678191,1.422577454,0.000745683,0.560039331,3.13E-05,2.085925275,0.000124727,3.51E-05,0.026106037,0.066324796,1.04E-07,0.002106096,0.000175999,1.07E-05,16.83414226,0.016342691,0.111223659,0,145.331723,0.004401662,0.105145789,0.755336675,0.008507223,1.22E-05,0.002887698,5.18E-04,0.000239632,159.1845208,0.0364543,1.38E-02,0.643858169,0.063268756,1571.290066,19.70936957,5.085770522,286.1141538,88.42077337
7,0.000379724,0.000991779,0.142314154,3.17758453,0.00365968,0.331469842,0.361469743,0.022952132,3.3171766,7.97E-02,45.11562601,0.819879175,0.900328854,5.12E-04,0.062119358,0.000225564,1.11E-02,0.031327343,0.097680352,1.68E-06,0.004301333,0.000125446,1.21E-04,0.636682772,0.000457403,2.010375557,0,151.3501994,1.12E-02,0.046542673,1.156708349,5.21803427,0.003005914,3.64E-05,0.003922462,0.579505539,166.539121,0.000453855,7.25E-06,0.160769725,0.002727241,659.451356,617.6975545,2.58275935,314.1569799,67.03551362
7,3.08E-03,1.55E-03,0.321657892,0.835151605,0.003134158,0.067357181,0.850933069,12.5935932,27.41671935,0.000503705,0.045048633,0.124318582,0.456906756,6.40E-03,0.019149282,0.000843749,0.013495227,0.138570976,0.000190433,2.89E-08,0.020343471,0.000345543,5.87E-05,2.415604698,0.238708992,0.000580119,0,313.2593219,3.22E-02,0.000131054,0.016501433,5.700086745,0.03663633,0.02215838,0.008140448,0.011057175,38107.73452,1.67E-04,8.33E-06,0.01319753,0.003805165,2093.765794,12.61296822,1.108762616,150.152239,285.2824825
7,4.18E-05,2.52E-04,0.272513328,5.15586136,0.026786192,2.32E-01,0.127063224,0.567080852,13.16494533,0.001637474,17.32900914,0.002406183,0.044377652,3.92E-05,0.017091746,0.109524851,0.000207352,0.544299454,0.024782324,3.24E-09,0.078625649,9.44E-03,0.00298158,0.870810492,2.95E-02,0.555221682,0,609.2597575,1.58E-03,0.01572731,0.034475969,0.032027682,0.002878758,0.000403679,7.62E-05,0.000702333,88.7488614,0.039096788,5.85E-05,0.353123355,0.531001724,38.573727,0.913182108,2.805862958,0.7056372,2299.936914
7,3.43E-04,5.72E-05,0.019301223,0.00420014,0.026037258,0.058593646,2.809859686,0.995891102,5.682131422,0.026944102,0.014834681,0.000862201,0.197779906,5.83E-05,0.066509015,0.124305627,1.15E-03,2.845476905,0.003103527,3.56E-06,19.39696848,0.009404704,9.71E-05,0.041994716,0.003715841,0.000641264,0,8879.95144,1.36E-02,0.055419373,0.029441027,2.600131533,1.65E-03,0.000505459,1.43E-05,0.111831281,12.69948049,1.31E-05,5.81E-05,0.003769052,0.048567306,298.0301894,1.582506943,255.5674113,115.723326,2931.373218
7,1.41E-04,0.000584519,0.301063613,0.012974937,0.038702583,0.250408173,0.029488125,7.332327194,62.3482805,0.21779799,0.008590103,0.068590065,0.19178607,5.57E-05,4.424655029,1.35E-03,6.56E-05,0.438013022,0.002534031,1.43E-05,2.969783689,0.000463036,5.85E-05,0.00393028,0.017986778,0.75521487,0,2900.049643,0.000677115,0.000406137,0.038564389,0.00522756,7.68E-05,2.13E-05,0.000309436,0.000742247,179.7042256,1.10E-04,7.97E-06,0.005442289,0.033658045,23317.6621,4.470627136,65.51977485,2966.857426,74.32086318
7,5.30E-05,0.240187267,1.510744305,0.018143586,0.061576614,0.583220278,11.44567949,0.588268929,13.99970464,0.060411875,49.93227255,0.145249671,0.188039127,0.007935368,0.005470866,0.004192015,0.00105164,0.008207112,0.001455001,2.10E-09,2.522801544,0.0022217,0.008784992,0.363776111,0.108660362,0.016390583,0,211.9812837,4.21E-03,0.003034473,0.230248235,1.211113436,8.11E-06,0.00016718,1.41E-05,0.00795619,4.030546169,6.74E-05,6.02E-05,0.068700914,0.00078351,241.8601577,2.091230269,2.024087894,10.14328019,1518.799703
7,0.000195255,0.002628552,0.047382212,0.03573227,0.00153883,0.000919554,10.8159636,11.48976185,4.404342163,2.81E-02,27.84964795,1.024132495,0.012611937,2.62E-05,0.866705074,0.033797394,5.96E-05,8.681505002,0.089797894,8.93E-09,0.010020111,0.318821177,2.72E-04,0.207072619,0.147855327,0.057769594,0,61.75541953,6.87E-02,0.001668337,0.001828208,1.147217117,6.86E-06,0.015702319,0.000197592,0.010280848,68.59630586,2.15E-05,8.06E-03,0.092879314,0.013423509,2599.270846,5.668953887,3.168710862,57.56350882,461.0808936
7,3.96E-05,0.001645937,0.003314923,3.139482887,0.052894158,0.000296538,0.034983778,2.029263785,42.11634711,0.003518926,2.241898773,0.004522559,0.037952571,0.000605157,0.247306165,0.000109048,0.095556718,7.409794421,0.00934228,5.78E-09,3.424476813,0.001204017,2.39E-05,0.003016184,6.43E-05,0.41743598,0,369.0440089,0.001236063,0.011179163,1.141491023,2.821617305,5.23E-06,0.000116672,1.72E-05,0.005153928,12.41622404,9.21E-05,1.56E-02,0.038102054,0.098794177,209.3786831,321.9564089,5.591562947,195.5599883,34.92655623
7,0.000823093,0.001589238,0.211575692,0.007191872,0.009440092,0.177517999,0.4558965,3.887926419,2.014780334,1.03E-04,0.840383683,0.014133257,0.025543042,4.66E-05,0.14055668,0.000521674,2.47E-02,0.050943802,0.003888098,6.38E-06,2.226349246,0.000511389,3.43E-05,15.05755512,0.060817616,0.011610679,0,60.35921595,0.09867002,0.125156347,0.323302791,0.017359094,0.001013369,7.62E-04,5.98E-06,0.190758842,20611.69905,1.41E-05,0.003056028,0.084777514,0.000666053,949.6645414,0.842983134,897.4959298,248.5652267,769.3318636
7,1.14E-03,0.011279936,0.000838548,0.024640618,0.126161551,0.001015254,0.127541865,0.082110686,7.280543981,0.00070945,0.007883406,0.000371117,0.032083586,2.92E-05,0.003771255,3.14E-05,4.44E-04,0.674325025,0.057083723,2.07E-06,0.042785899,0.000886095,1.68E-03,1.367995187,0.056776069,4.818881415,0,2361.661734,0.044206424,0.000683335,0.004528699,3.866034556,0.010449393,2.85E-04,2.60E-03,0.000166836,4.295355709,1.16E-05,1.33E-04,0.671921922,0.114730942,5620.611438,31.87517324,40.13480275,215.5531462,8.419716769
7,0.000296797,0.002024731,0.823543588,0.203305053,0.010921854,0.089259667,0.013017114,28.16608548,8.73654517,0.008059154,0.021579753,1.818056288,0.090926806,6.16E-05,4.350355599,0.002277124,0.000647827,0.013055679,0.08930358,6.23E-08,13.38423211,0.098407956,2.10E-04,0.012130187,0.002670296,3.513703367,0,36682.57301,5.84E-05,0.000287854,0.036280044,0.004054736,5.14E-06,0.000188272,1.66E-03,0.00058601,9040.747288,6.15E-02,9.54E-06,0.00793957,0.0099113,131.7071363,0.224086589,906.536894,71.67472706,103.9071804
7,0.000108028,0.04379158,3.802430267,0.2415763,0.260528719,0.370650855,0.040812649,6.788760191,12.90491126,0.000723398,8.129941577,0.005960164,0.149227609,0.001683413,0.45722767,4.29E-05,0.007603408,0.008138068,0.245012948,2.45E-07,0.00309513,0.000210011,3.24E-05,7.420229252,0.007799936,0.001145366,0,175.6390101,8.18E-05,0.002866251,0.079246674,0.05062583,1.16E-02,0.027296782,0.001961431,0.340012404,14613.42191,0.029332213,0.000256113,0.640401871,0.947101624,427.9769899,287.9574853,8204.274536,44.14985054,0.616611781
7,0.001003377,0.412648773,0.055181193,0.00542924,0.003948588,0.093984606,6.648606939,0.059506454,31.53035391,0.000364291,25.74497015,0.339248956,0.005446966,2.92E-05,4.37530969,0.003467912,0.001072768,1.730449623,0.029879956,7.86E-06,0.002991477,6.19E-05,3.00E-05,1.360459765,0.000226481,0.000821974,0,192.9961895,0.000401405,0.044680098,0.008966129,0.003247851,0.020746623,0.000228232,0.00155408,0.001372265,131.7418436,7.25E-05,5.79E-05,0.184042136,0.000682641,92.44979371,8.088761437,34.96283857,147.5362935,32.39947622
7,0.002177722,0.000301372,0.000437736,1.796222973,7.97E-05,0.018561395,0.17387731,10.13416288,7.164771248,0.05672939,0.260404499,0.007255591,0.007922957,0.000325319,5.306626926,0.016775702,2.12E-03,1.088888264,0.000637565,8.25E-07,9.804386823,0.002591594,0.01121182,3.505709837,0.007851905,3.441908811,0,11.8589217,7.28E-05,0.630553921,0.039531064,0.728758497,0.011422101,0.031247232,5.49E-05,0.015623078,15.74317691,4.68E-05,5.16E-05,0.009871548,0.011474465,223.6948908,428.396027,3666.373481,179.4830196,48.40687323
7,7.22E-04,0.00330743,0.013116658,11.98052807,0.139264979,0.078726041,2.048850415,0.453440516,4.872764017,0.004990148,0.009012479,0.00020844,0.411005206,6.17E-05,0.037816665,3.97E-03,4.71E-03,2.216749302,0.003920642,3.29E-09,0.261350347,0.005005322,0.013385908,0.667736722,0.071473081,0.093198078,0,11302.78333,0.000511,0.00087993,0.043113635,0.001237812,1.49E-05,0.013246703,2.57E-05,0.299179899,961.0824099,1.79E-03,7.70E-05,0.012611963,0.026063217,10575.29581,62.77858002,1140.129958,1.083851853,125.2884616
7,0.000741173,0.002821907,0.000526895,0.052812225,0.266763302,0.000428404,3.57998773,4.505094602,23.10092003,0.276009676,4.69457032,0.000885393,0.016311462,0.000899046,2.954029589,0.00266617,1.36E-05,14.91106184,0.000424659,2.78E-09,0.015078107,0.003114892,0.001062858,0.06746565,0.108317108,0.001359318,0,7.314260678,0.000493987,0.157508485,0.344340838,0.001893964,7.13E-05,1.50E-03,0.000309601,0.321065725,21.39078206,4.47E-02,9.73E-05,0.000121301,0.113423525,21170.30513,457.9463224,3987.535048,514.1087551,56.28921964
8,0.002156989,6.64E-05,0.00252176,4.388576863,0.007383955,0.132501329,0.80395163,11.74037554,1.743418728,0.00136027,0.009740337,0.003875652,0.010734322,0.02571762,0.712464876,0.000737238,0.005266258,0.025243348,2.83E-03,1.46E-06,2.348603871,0.336779681,0.019964465,13.70919151,0.018057772,0.028261979,0.000980433,23036.33267,0.000288697,0.469182688,0.000401416,0.042495501,2.31E-05,0.002822171,2.58E-03,0.671142547,9.841435125,0.000262471,2.18E-02,0.000502986,0.00039729,1822.113096,48.33662505,116.9722753,0.69130003,1310.682783
8,0.000980301,0.008961608,0.166239153,8.283092434,0.21341486,0.473026795,0.60051751,10.32235739,1.99177488,0.005996193,37.67962309,0.564225713,2.963406449,0.001352147,14.27931552,0.002910669,0.013539953,0.1841719,0.036038165,3.27E-06,0.01184108,0.000145417,1.55E-05,0.003698675,5.96E-05,0.092444826,0.028211482,2757.848592,1.21E-02,0.54302402,0.372349959,0.00859967,0.037522736,3.41E-05,7.23E-06,0.00093176,309.9690457,1.28E-05,2.58E-05,0.261428326,0.720556537,698.2910454,2.765122164,2.246882023,20.05305818,520.783429
8,3.40E-03,0.000842837,2.865663767,2.66301456,0.013777535,0.028472441,0.388244588,0.004887154,40.07412046,0.44885491,0.029417843,0.00024389,0.005064281,0.000630149,4.138148621,0.000433515,2.62E-05,0.022312985,0.009322978,5.83E-08,0.512077695,0.013392263,0.000198576,18.13641701,0.321402399,0.028700035,0.002202933,32.42211748,1.17E-05,0.000125482,0.001842344,7.912608858,1.27E-03,0.019483748,0.041462634,0.207079882,46.48590828,3.19E-05,5.52E-06,0.054867628,0.489096731,24994.02202,1156.77751,164.5570275,3169.041539,58.88541115
8,0.000649567,0.003441067,0.018007824,0.059166497,0.003026141,0.012304779,0.810496222,1.357477716,36.99198626,1.00E-01,4.40348487,0.018266714,0.001786792,0.01416179,0.32238865,3.21E-05,3.77E-05,0.208492954,0.051603703,1.01E-07,0.059840655,0.147939057,0.000109937,0.133493454,4.13E-02,4.377906122,0.000503868,4.546992544,0.034502035,0.005012113,0.003883743,0.011900734,1.55E-02,0.001376905,1.81E-04,0.088818259,13.33808497,1.17E-04,7.41E-05,0.049607093,0.00315679,13.08881747,1.387818293,52.2917971,6.816839469,559.4550514
8,0.000432869,0.000774024,0.000612959,0.006179744,0.040729917,0.009192409,2.532655547,0.763104243,36.34017383,0.00348523,0.196186063,1.981745787,0.0013932,2.86E-03,0.011457175,2.47E-04,0.003247174,3.023420218,0.008823478,1.88E-07,12.46756553,0.075789976,0.000147013,11.13529232,0.137122592,4.024540998,0.036296885,674.150381,0.012959861,0.164566677,0.000429671,0.076947592,0.044913154,7.16E-06,0.010623506,0.000336624,285.4881312,0.000187933,9.63E-06,0.920840251,0.000134702,46.96226712,103.829561,1.460320953,261.281048,423.7348748
8,0.000670124,0.030350464,2.758400515,0.002107913,7.16E-05,0.000105336,0.344326614,11.46006681,5.629950084,0.100092214,15.69582754,0.072565875,0.001482256,0.000104573,0.104176467,1.41E-03,4.30E-05,0.041652035,3.54E-03,4.68E-09,0.299605558,0.000176476,1.43E-05,0.01795476,0.105097759,0.005674176,0.631783853,93.51467155,7.39E-05,0.000132214,0.000229858,0.725139375,9.80E-05,0.001689971,0.005865569,0.018241456,3097.008449,2.83E-04,9.84E-06,0.019382396,0.000240795,43257.08416,165.3815435,1488.964432,4348.614058,17.92945128
8,0.005274453,3.41E-02,0.012831138,0.010337261,0.219131759,0.002070689,6.161535939,0.01331282,11.27615429,0.009729995,23.05153026,0.351333226,0.511580045,2.79E-04,0.003841677,0.058309807,3.32E-05,0.399999813,0.029615629,2.36E-09,0.010978721,8.25E-05,0.000923996,0.24523995,0.000212324,0.004195314,0.015967574,112.3765425,0.030125716,0.02337519,0.001437372,0.937306878,6.43E-06,0.002797173,2.73E-05,0.007566827,19.2169566,0.000107446,1.86E-04,0.000381846,0.122525305,948.6466479,407.4923078,32.0312783,796.2812487,34.28867299
8,0.00383436,0.408551503,0.000583635,0.007282791,5.37E-02,0.007846025,53.63305566,26.29588321,23.72334203,0.000408946,0.127865809,0.344985115,0.001869385,3.43E-02,0.013785833,0.032115357,2.78E-02,0.089036737,0.000771349,7.17E-08,0.756983201,0.000551536,0.003674899,1.675375846,0.057900387,0.010273808,0.003718398,23496.32328,0.081739548,0.000143463,0.031123794,0.039223993,1.46E-05,1.05E-05,0.006843263,0.874112606,237.3372413,0.004309273,1.73E-05,0.00160451,0.067852344,3818.26489,57.22901913,603.4363538,0.70813846,173.0911221
8,5.04E-05,0.002423355,0.057851104,0.005605774,0.005056924,0.037194581,0.248549624,1.245904376,24.69256017,0.000195313,0.005141553,0.116300252,0.006998714,1.36E-05,2.040188315,0.000189911,8.53E-03,0.012605963,0.000249825,5.06E-08,0.376477706,0.047646088,0.000125454,0.165040305,0.05969335,0.004080209,0.025642029,4896.128614,1.22E-05,0.002899634,1.349209237,0.024777696,4.41E-03,1.76E-04,2.08E-03,0.008307397,2636.569313,4.74E-03,7.58E-06,0.005016076,0.001589494,23017.05943,10.56918434,94.76889864,47.76688744,190.3347731
8,0.001209622,0.016840683,0.394311831,2.278319621,0.107401418,0.09318905,0.021756023,29.05371917,89.04853011,0.372304879,0.343034266,1.019418505,0.008274515,2.76E-05,1.458103375,0.057927042,0.000421212,0.002330287,0.000124851,7.62E-07,0.374116493,0.003729088,0.0001333,3.184358863,0.00848135,0.344429325,0.030555902,3197.386214,1.80E-05,0.000365439,0.041920711,2.467407178,2.12E-04,0.0007815,1.48E-05,0.000436834,3777.582207,0.00214898,0.000394008,0.025425808,0.000143201,12807.03372,23.23306272,2315.173847,772.6331246,4246.473066
8,0.000259785,0.018403252,0.008982511,19.23220628,0.487335455,0.116153539,0.189864536,18.16421779,6.048729571,0.191512159,4.04219188,0.0002104,0.001204783,1.36E-04,0.08721476,4.03E-05,1.61E-03,0.00600279,0.129174827,2.79E-09,0.045588193,0.000375945,3.70E-04,0.047730358,0.238395194,0.001835885,0.001124499,3971.871037,6.86E-05,0.130674908,0.00056699,0.366045832,5.53E-06,2.83E-05,6.38E-04,0.011117831,14672.84818,0.000211463,8.04E-05,0.951806496,0.246239027,627.7210182,1.657545802,239.7006419,4.727541692,138.6836008
8,0.00165109,0.000237349,1.119495614,0.052009059,0.028503561,0.012491484,16.32446974,3.176327026,3.308793092,0.021961054,4.392553562,1.074824858,0.002015686,6.60E-05,0.684724114,0.00241964,3.69E-03,0.366402525,0.092739794,1.62E-07,0.014901975,0.000198738,0.000122624,0.009681155,0.003108526,0.070242489,0.003340775,47.407254,9.19E-04,0.056933881,0.900571706,0.418309761,0.000276882,2.44E-05,0.006546898,0.653660246,1598.709059,8.92E-04,1.27E-04,0.010282108,0.000456573,2113.569559,28.35032635,2.711368285,0.66176311,324.2630943
8,8.29E-05,0.001074214,0.282120633,0.010232158,0.010698856,0.007364464,8.125224873,5.931746472,55.64492608,0.0008727,0.59445729,0.357799242,0.003895251,0.002912942,11.1378526,0.048626614,0.00173377,7.206502888,0.00012763,4.82E-07,4.145318085,0.073071879,0.002238682,0.003088665,0.001447114,0.154893701,0.024181356,5692.913196,0.005780863,0.000146063,0.002619288,0.125693561,0.001327535,9.43E-06,3.77E-04,0.000910201,46.49625387,7.42E-02,1.18E-05,0.707930256,0.017546093,353.45085,29.76617326,12.982857,1622.014806,854.3316545
8,3.17E-04,0.000200991,0.013089827,2.273617853,0.002035415,0.00390309,40.92030694,1.480726867,18.27953211,0.005986307,25.66616721,0.975448212,0.001210709,4.79E-05,0.282401014,0.000151736,0.010245975,0.008014601,0.001011524,1.30E-05,0.582632476,0.086783571,1.51E-03,0.680220203,0.006586937,0.003766336,0.00062724,128.7067442,2.82E-05,0.001007586,0.001822654,1.365561906,0.000839992,0.001922068,0.000184151,0.303610499,7732.646613,4.21E-04,3.86E-05,0.000666485,0.068977213,10261.94474,103.7507162,5.809608336,240.2818794,38.41566776
8,0.000473296,0.000392228,0.008790369,0.22091016,0.140325519,0.002030637,0.097028624,0.976621592,32.1092647,6.41E-05,0.005334488,0.300046943,0.001678283,5.35E-05,0.008100295,0.003437291,0.000389868,4.488509148,3.46E-05,6.26E-09,0.005880544,0.078020623,5.43E-04,0.019095657,0.001000377,0.000674335,0.027681468,1345.383499,2.43E-04,0.320865468,0.000897368,2.287601869,0.00899895,0.000994173,0.014840605,0.000770122,171.3674656,2.34E-05,1.50E-05,0.20294129,0.202727173,165.8587493,4.287171295,4.342520623,3804.789495,198.384273
8,7.47E-05,0.000505631,1.867755637,0.01204052,0.000707874,0.468051488,0.090362298,0.756008506,8.225387144,0.002962243,1.531734795,0.864565282,0.524254597,0.074490212,0.013736406,0.043645332,6.06E-04,0.004453213,0.238401966,8.20E-08,0.027784032,0.131231871,0.007525244,0.097590195,0.001885813,0.050454469,0.007668122,41.15959589,0.046408978,0.258414357,1.880854233,0.003098249,0.002176405,0.000966197,2.14E-05,0.176761867,18214.51138,0.000192597,1.24E-05,0.250945824,0.001159775,1154.390879,553.5514538,5.909423669,0.735009332,27.87791709
8,1.49E-03,0.000304831,0.000653481,0.007957423,0.002714918,0.11604495,1.070595439,38.79629128,15.4155341,0.00323371,1.771656859,0.0371232,0.001867731,0.044670161,0.284816794,5.06E-03,0.00042735,0.010921694,0.162092485,3.43E-08,0.201441298,0.021511317,0.079459578,0.560821355,0.001634837,0.245447077,0.017998355,8.136501417,0.029551768,0.002048351,0.454533221,1.733821467,0.000494874,5.16E-05,0.003049527,0.366267178,5.71419187,7.66E-03,5.10E-06,0.000623482,0.000355626,101.2853402,1136.055468,1161.773272,20.38277769,57.19543519
8,0.000873419,0.000271296,0.023461648,9.141983892,0.117376151,0.039505012,27.89861106,0.019153849,65.50446462,0.000195855,0.806073579,0.002461866,0.013901011,7.49E-05,19.90767713,3.01E-05,1.23E-05,0.180476163,0.040866601,1.53E-08,0.120094024,4.30E-03,6.35E-04,0.015484546,0.472068686,0.858005985,0.051706234,1329.892376,0.047044321,0.08074721,0.003420058,0.178665214,1.05E-05,3.20E-05,8.95E-05,0.223006311,14499.18329,1.25E-04,4.04E-05,0.289179109,0.108892199,9889.428452,153.1492755,4930.601644,27.63651492,1.114215665
8,0.000130707,0.000304552,0.939835148,9.573146331,0.00034443,0.004373152,0.200874375,4.821960661,3.707364785,0.000381173,0.018369914,0.029739327,2.021460304,8.06E-03,10.07479576,2.32E-01,0.006043775,0.142441265,7.17E-02,6.09E-08,0.006176137,0.028996444,3.19E-05,1.655685234,0.001450931,2.888815799,0.002924008,133.558992,0.005754166,0.000282195,0.032674061,0.018810291,0.000207336,0.00055009,0.01059635,0.000150993,30.45584823,0.082159167,3.37E-05,0.161115633,0.015456658,6537.064901,94.64299757,3.977643204,1762.691556,0.844758943
8,3.06E-03,0.012495878,0.158952012,0.403535958,8.19E-05,0.006667305,0.026975698,2.428821379,9.546744899,0.005626835,0.179290984,0.001145958,0.037795701,0.000162431,0.142881939,0.025360123,0.000128693,0.014490483,3.37E-03,9.55E-07,0.055670199,0.374618124,7.65E-02,13.94995572,0.000467856,0.15859254,0.000265657,292.0708124,0.017251813,0.215582667,0.008230613,0.01422127,0.040820371,0.000621014,1.49E-03,0.017983937,4751.635343,2.84E-02,0.000662796,0.970041745,0.000195096,16017.5638,18.43950065,1.716399144,3396.178671,5.251541098
