Structure,k2,k_2,k3,k_3,k4,k5,k_5,k6,deg_ratio,k7,k_7,k8,k_8,k9,k_9,k10,k11,k_11,k12,k13,k_13,k14,k15,k_15,k16,k17b,k18a,k18b,k19,k20,k21,k_21,k22,k23,k24,k25a,k25b,k26,k27,k28,k29,totalSTAT,RJ,SHP2,PPX,PPN
5,0.005378579,0.00706743,0.299709824,0.009935504,7.77E-05,0.036108486,58.76882254,0.086970341,1,6.35E-05,8.461245755,0.004426625,0.178543291,3.87E-03,0.00750724,0.000455271,4.02E-05,0.018415194,6.09E-02,3.55E-06,1.01181508,0.046356961,0.000235412,0.128362222,0.034124637,0.423729851,0.055295191,5.531472695,0.00122436,0.166768074,0.010775974,0.002593757,1.94E-02,0.007250284,7.62E-04,0.022159179,459.5564622,5.68E-05,0.000347434,0.29091037,0.010106543,2345.287364,293.6177636,13.01305947,316.6138131,16.55621039
5,4.02E-05,0.000217247,0.001624113,0.407615111,0.469904906,0.001756048,1.208790207,0.131507256,1,0.001345928,0.939208638,0.001672441,0.34520013,1.20E-05,10.7872945,7.16E-05,0.000235944,3.371354805,7.00E-05,4.08E-06,0.41673755,0.012773918,4.16E-02,0.004146821,0.000960926,0.028301756,0.01498398,52.18616306,0.004501441,0.002901203,0.001270624,0.298987788,6.33E-05,0.009614932,8.61E-06,0.679475631,33.12094952,1.45E-02,0.000202484,0.644304072,0.226677371,2987.803328,30.90140311,626.7622409,19.13284569,1367.833089
5,0.000191526,0.069271077,0.061544907,0.024240917,0.001082599,0.06195312,1.072218233,38.78967771,1,0.003180049,0.038668688,0.00675303,0.093606626,0.000531364,0.051579577,3.61E-05,0.016548912,0.942542228,0.000206967,1.89E-06,17.08360276,0.080088084,7.13E-03,0.042847928,0.051825296,0.043532901,0.248963321,283.207268,0.000153157,0.131055912,0.046630887,0.035802354,4.93E-05,0.031253338,0.009968091,0.006044888,436.4482782,3.81E-05,0.000100801,0.20091234,0.000781395,143.269117,1.394067988,1504.17477,209.4012007,0.901846323
5,0.000965113,0.000109023,0.004050248,0.007693728,0.000782487,0.223074916,4.714477598,9.169363232,1,0.230027955,25.14686043,0.598007473,0.226698147,0.000102259,0.002220282,0.001702658,0.005377811,0.006776116,0.00022323,1.71E-08,0.302411828,0.009396178,4.28E-04,2.90992183,0.007314098,1.53125749,0.092757238,3127.686972,0.001146195,0.139908921,0.352020285,0.020045137,3.76E-02,0.001588165,0.014783427,0.002928713,10.30539118,1.56E-05,1.05E-03,0.003298559,0.843897643,128.7992996,0.220150581,17.86071582,2.262528882,3403.055064
5,3.69E-05,0.005820126,1.316847928,0.007095932,0.348165803,0.131536161,0.044616691,0.439462862,1,0.006647722,0.16278733,0.044966589,1.650204577,0.000632538,0.118965994,0.288699542,0.007087519,0.694801011,1.45E-02,9.05E-09,0.100541068,0.000352013,0.00025903,18.09261854,0.226429628,0.002149766,0.011549254,14.01031087,0.020613648,0.171295927,0.190490005,1.404969217,0.00082968,0.000862185,0.011969795,0.008960233,764.3524356,0.000627255,1.43E-04,0.296022187,0.014881666,55.0672201,0.744843136,24.38247875,20.91210693,4.1748377
5,0.000179568,0.008817434,0.188822155,0.011244174,0.000404354,0.000321594,0.057352892,2.010867034,1,0.000405192,34.21065109,0.167302898,0.101154897,0.000600425,0.074964826,0.048757117,0.007750663,0.554854359,0.00593312,1.65E-05,2.70152943,0.223081534,0.000274023,0.073666635,0.016486452,0.01959824,0.088118098,80.07852101,0.00027531,0.10592306,0.003538403,0.089047947,0.000780899,1.03E-05,0.000172718,0.012940971,15.92601828,3.90E-04,5.68E-06,0.020723121,0.001322441,224.9754617,4.739645352,2.763594611,8.528017277,137.15934
5,0.003413181,0.044702998,0.319243624,0.00895679,0.212271977,0.001992994,0.274084537,1.354123357,1,0.049305427,10.51497957,0.245363181,0.007937432,0.005783878,0.002438334,0.290173014,9.53E-02,0.954534502,0.007367408,1.47E-06,0.008120289,0.01635989,0.006418989,0.543431211,0.10959666,0.042425933,0.07439539,10862.25401,0.094203107,0.274992259,0.00047258,0.001285189,0.000900499,4.79E-05,4.41E-03,0.619383907,15.43649806,2.09E-05,8.36E-06,0.019333167,0.269541604,11329.61987,32.32432544,1.425498989,532.0479024,7.923738891
5,0.000282746,0.009316934,0.002760778,0.057179595,0.00024107,0.006146232,0.038831283,0.099642346,1,0.014431965,6.791995071,1.786880047,0.001035181,0.003231802,0.036560153,0.001052638,1.20E-05,0.963712982,0.000903315,4.47E-09,0.131439128,0.007829272,0.00011765,0.008597858,0.020934021,0.0155227,0.498567374,1309.624878,0.001316712,0.564029338,1.008778214,3.61442362,0.000134586,0.004024411,8.86E-05,0.030095974,6.669574329,0.000236552,8.90E-05,0.001362845,0.000769217,26.32254061,4.609214779,22.2097835,645.1159039,42.47565554
5,2.37E-06,0.006652222,0.00055327,3.240980636,0.079166035,0.534211276,0.010282516,36.06943378,1,0.002306095,0.013320103,0.01531981,0.007945281,1.31E-05,0.20023065,2.43E-01,2.52E-02,0.085113301,0.022795562,2.51E-07,17.41212693,0.000123235,0.000106407,0.008506486,0.000156604,0.009884834,0.000844873,417.5639071,0.089435261,0.214400841,0.004880221,0.011667633,0.000305749,4.90E-04,2.17E-02,0.771883954,7499.336663,2.26E-03,3.96E-05,0.005223219,0.00137423,2095.017004,226.2942393,60.24080623,158.2321376,52.08805021
6,7.70E-05,0.000848538,0.000548564,0.065416047,0.021373936,0.000916963,20.01334642,0.442479311,25.13215669,0.030541372,4.955976939,0.000257927,0.010969742,0.042335821,0.303923564,0.015270144,0.000132921,0.198756392,0.003808993,8.88E-09,2.244354981,0.000269603,1.96E-05,0.223945569,0.000318879,0.002963496,0.000211093,286.6950214,1.12E-05,0.000107171,1.285261446,1.198013849,0.000197194,1.21E-05,0.001373349,0,49.55604147,1.52E-05,0.013688619,0.008996476,0.026676384,61184.24051,712.5118103,2.696812544,3208.846533,21.19698848
